ID ,Titre ,Sous-titre ,Édition ,Type ,Prix indicatif ,Joueur(s) ,Durée ,Age(s) ,Univers ,Gamme(s) ,Catégorie(s) ,Thème(s) ,Mécanisme(s)
37261 ,Le Renard des Bois Duo , ,2020 ,basegame ,13.5 ,Duo ,30 ,10+ , ,Le Renard des Bois ,Jeu de Cartes ,Animaux Fantastique Fées & lutins Renards ,Argumentation Contrat Coopération Duo Mouvement de point à  point Parcours Plis Prise de risque
9546 ,Les Aventuriers du Rail ,Le jeu de Cartes ,2008 ,basegame ,15 ,2 à 4 ,30 ,8+ , ,Les Aventuriers Du Rail ,Jeu de Cartes ,Trains Transport & voyage ,Collection Gestion de main Majorité Mémorisation Objectif secret Pioche
46498 ,Les Aventuriers du Rail - Europe ,15e Anniversaire ,2021 ,basegame ,99 ,2 à 5 ,30 à 60 ,8+ , ,Les Aventuriers Du Rail ,Jeu de plateau ,Europe Réseau Routier Trains Transport & voyage ,Collection Connexion Objectif secret
61698 ,Les bons contes font les bons ennemis... , ,2023 ,basegame ,7.5 ,Duo ,20 ,8+ , ,Les bons contes font les bons ennemisâ€¦ Matagot Micro-Game ,Jeu de Cartes ,Contes ,Chance & Hasard Collection Placement de cartes Pouvoir
25727 ,Les Charlatans de Belcastel , ,2018 ,basegame ,35 ,2 à 4 ,30 à 60 ,10+ ,Belcastel ,les charlatans de Belcastel ,Jeu de plateau ,Médiéval Fantastique ,Bag Building Chance & Hasard Collection Combinaison Pouvoir Prise de risque Stop ou encore
55067 ,Les Gardiens de Havresac , ,2022 ,basegame ,45 ,1 à 4 ,30 ,10+ , , ,Jeu de plateau Jeu de tuiles ,Médiéval Fantastique ,Bag Building Combinaison Placement de tuiles Pouvoir Stratégie
50529 ,Les Hauts Fourneaux , ,2021 ,basegame ,28.9 ,2 à 4 ,30 à 60 ,12+ , ,Les Hauts Fourneaux ,Jeu de plateau ,Industrie Révolution industrielle ,Draft Enchères Gestion de main
35706 ,Les Petites Bourgades , ,2020 ,basegame ,35 ,1 à 6 ,45 ,10+ , ,Les Petites Bourgades ,Jeu de plateau ,Animaux Construction Ville ,Choix simultanés Combinaison Construction Placement Stratégique Stratégie
40788 ,Les Ruines Perdues de Narak , ,2021 ,basegame ,60 ,1 à 4 ,60 à 120 ,12+ , ,Iello Expert Les Ruines Perdues De Narak ,Jeu de plateau ,Archéologie Exploration Jungle Transport & voyage ,Deck building Exploration Placement d'ouvriers
50524 ,Les Ruines Perdues De Narak - Chefs d'Expédition , ,2022 ,extension ,30 ,2 à 4 ,60 à 120 ,12+ , ,Iello Expert Les Ruines Perdues De Narak ,Jeu de plateau ,Archéologie Exploration Jungle Transport & voyage ,Deck building Exploration Placement d'ouvriers
61152 ,Let's Summon Demons , ,2022 ,basegame ,20 ,2 à 5 ,30 ,14+ , , ,Jeu de Cartes Jeu de dés ,Démons Enfants Fantastique Humour ,Chance & Hasard Collection Combinaison Dans Ta Face Jet De Dés
38540 ,Lions Of Lydia , ,2020 ,basegame ,35 ,2 à 4 ,30 à 60 ,14+ , , ,Jeu de plateau ,Antiquité Économie Ville ,Bag Building Deck building Gestion de ressources Placement d'ouvriers Plateau modulaire
20068 ,Little Big Fish , ,2017 ,basegame ,19.9 ,Duo ,20 ,8+ , , ,Jeu de plateau ,Abstrait Animaux ,Affrontement Direct Capture Déplacement
32047 ,Little Town , ,2019 ,basegame ,26.5 ,2 à 4 ,45 ,10+ ,Little Town ,Little Town ,Jeu de plateau ,Construction Médiéval Ville ,Construction Gestion de ressources Placement Placement d'ouvriers Placement de tuiles
56066 ,Little Town - Artisans , ,2022 ,extension ,18 ,2 à 4 ,45 ,10+ ,Little Town ,Little Town ,Jeu de plateau ,Construction Médiéval Ville ,Construction Gestion de ressources Placement Placement d'ouvriers Placement de tuiles
53460 ,Loco Momo , ,2022 ,basegame ,22.5 ,1 à 4 ,20 à 30 ,8+ , , ,Jeu de plateau ,Animaux Nature ,Placement de cartes
29240 ,Love Letter , ,2019 ,basegame ,10 ,2 à 6 ,15 ,8+ , ,Love Letter ,Jeu de Cartes ,Historique Médiéval ,Bluff Déduction Élimination Gestion de main Pouvoir Rôle secret
54425 ,Love Letter - Le Palais de Jabba , ,2022 ,basegame ,13.5 ,2 à 6 ,30 ,10+ ,Star Wars ,Love Letter ,Jeu de Cartes ,Science-fiction ,Bluff Déduction Rôle secret
44381 ,Lueur , ,2021 ,basegame ,35 ,2 à 4 ,45 ,10+ , ,Lueur ,Jeu de Cartes Jeu de plateau ,Fantasy ,Choix multiples Collection Combinaison Jet De Dés Parcours Pouvoir Stop ou encore
928 ,Lutèce , ,2015 ,basegame ,22 ,2 à 5 ,45 ,10+ , , ,Jeu de Cartes Jeu de plateau ,Antiquité Ville ,Chance & Hasard Choix simultanés Collection Enchères Enchères cachées Gestion de main Majorité
33398 ,Mandala , ,2019 ,basegame ,19.9 ,Duo ,30 ,10+ , ,Jeu pour 2 , ,Abstrait Inde ,Construction Duo Gestion de main
40518 ,Margraves De Valeria , ,2020 ,basegame ,36.9 ,2 à 5 ,60 à 120 ,13+ ,Valeria ,Margraves of Valeria ,Jeu de plateau ,Médiéval Fantastique ,Affrontement Direct Gestion Placement d'ouvriers
26989 ,Mekaröth , ,2018 ,basegame ,24 ,2 à 4 ,30 ,8+ , , ,Jeu de plateau ,Animaux Écologie Fantastique Steampunk ,Blocage Course Déplacement Mémorisation Placement de tuiles
321 ,Meowtopia , ,2016 ,basegame ,30 ,2 à 4 ,40 ,10+ , ,Meowtopia ,Jeu de plateau ,Animaux Asie ,Gestion Placement d'ouvriers
303 ,Meowtopia : Chaton , ,2016 ,goodie ,0 ,2 à 4 ,40 ,10+ , ,Meowtopia ,Jeu de plateau ,Animaux Asie ,Gestion Placement d'ouvriers
42016 ,MicroMacro Crime City , ,2020 ,basegame ,24.95 ,1 à 4 ,15 à 45 ,10+ , ,MicroMacro Crime City ,Jeu d'Observation ,Criminalité Enquêtes & Mystères Objets Vie quotidienne Ville ,Coopération Déduction Observation Scénarios
859 ,Mombasa , ,2015 ,basegame ,40 ,2 à 4 ,75 à 150 ,12+ , ,Mombasa ,Jeu de plateau ,Afrique Bourse & Finances Colonisation ,Choix simultanés Conquête Deck building Draft Gestion de main Placement d'ouvriers Pouvoir Programmation
55170 ,Momiji , ,2022 ,basegame ,18 ,1 à 4 ,30 ,8+ , ,Momiji ,Jeu de Cartes ,Nature Saisons Végétaux ,Asymétrie Collection Draft Gestion de main Pouvoir
6381 ,Mr. Jack Pocket , ,2010 ,basegame ,15 ,Duo ,20 ,13+ ,Mr. Jack Sherlock Holmes ,Mr. Jack Pocket ,Jeu de Cartes ,Angleterre Chiens Enquêtes & Mystères ,Déduction Duo
4137 ,Mr. Jack Pocket - James Maybrick , ,2011 ,goodie ,0 ,Duo ,20 ,13+ ,Mr. Jack ,Mr. Jack Pocket ,Jeu de Cartes ,Enquêtes & Mystères ,Déduction
5447 ,Munchkin , ,2010 ,basegame ,21 ,3 à 6 ,60 ,12+ , ,Munchkin ,Jeu de Cartes ,Exploration Fantastique Humour Médiéval ,Affrontement Direct Blocage Chance & Hasard Gestion de main Pioche Semi-coopération
23118 ,Nagaraja , ,2018 ,basegame ,27 ,Duo ,30 ,9+ , ,Nagaraja ,Jeu de Cartes Jeu de dés Jeu de plateau ,Archéologie Exploration Inde Labyrinthe ,Choix simultanés Course Déplacement Duo Gestion de main Jet De Dés Parcours
